Forecasting Fish Consumption in Indonesia,,,,,,,,
Year,Fish Consumption (kg/capita),,Using Double Exponential Smoothing (Holt),,,,Forecast Results for 2025–2027,
2000,21.57,,,,,,Year,Fish Consumption (kg/capita)
2001,22.47,,Year,Forecast,|Actual-Forecast|/Actual,,2025,60.60945
2002,22.79,,2002,23.37,0.025449759,,2026,62.30043
2003,22.36,,2003,23.63594,0.057063506,,2027,63.9914
2004,22.58,,2004,23.08015,0.022150133,,,
2005,23.95,,2005,23.23841,0.029711482,,,
2006,25.94,,2006,24.66881,0.049005012,,,
2007,27.89,,2007,26.78572,0.03959412,,,
2008,28.28,,2008,28.85371,0.020286775,,,
2009,29.08,,2009,29.20332,0.004240715,,,
2010,30.47,,2010,29.98503,0.015916311,,,
2011,32.25,,2011,31.41877,0.025774574,,,
2012,33.89,,2012,33.28199,0.01794069,,,
2013,35.21,,2013,34.98851,0.006290542,,,
2014,38.14,,2014,36.33635,0.047290246,,,
2015,41.11,,2015,39.43709,0.040693505,,,
2016,43.94,,2016,42.58438,0.030851616,,,
2017,47.34,,2017,45.56055,0.03758872,,,
2018,50.69,,2018,49.14247,0.030529296,,,
2019,54.50,,2019,52.65779,0.033802018,,,
2020,54.56,,2020,56.65782,0.03844978,,,
2021,55.16,,2021,56.54412,0.025092821,,,
2022,52.27,,2022,56.99026,0.090305338,,,
2023,57.91,,2023,53.64391,0.073667588,,,
2024,58.91,,2024,59.62561,0.012147513,,,
Source: ,,,MAPE(%),,3.364530697,,,
"Annur, 2022",,,,,,,,
"Ridwan, 2025",,,,,,,,
"Virgantari, et. al., 2011",,,,,,,,
"Wuryandani & Meilani, 2011",,,,,,,,
